hr_id,x,y,magnitude
4199,684.545,848.509,2.76
4140,594.575,602.607,3.32
4050,439.574,567.155,3.40
3884,118.075,689.797,3.69
4257,851.222,378.543,3.78
4114,562.224,342.841,3.82
4180,715.107,76.494,4.28
4159,656.986,244.372,4.45
4074,486.725,104.303,4.50
3856,44.008,595.207,4.52
4063,471.712,14.937,4.57
4200,723.738,514.621,4.57
4110,560.681,246.317,4.66
4177,682.376,389.118,4.66
4196,677.097,854.126,4.82
4205,699.414,811.691,4.82
4222,721.504,851.618,4.85
4164,652.915,420.359,5.08
4220,719.294,840.707,5.23
4221,798.303,186.449,5.23
4250,859.191,236.619,5.25
4120,552.099,818.962,5.29
3863,18.126,302.350,5.32
4219,714.750,862.514,5.34
4198,726.020,395.900,5.38
4169,670.817,348.684,5.45
3914,177.402,704.125,5.57
4107,562.818,3.595,5.58
3999,359.118,587.293,5.60
4065,458.151,860.748,5.67
4009,378.293,281.449,5.72
4204,694.328,836.638,5.77
3913,151.896,414.203,5.79
3864,13.314,238.781,5.80
4061,458.693,109.896,5.81
4173,687.876,220.123,5.91
4239,799.999,413.509,5.91
4179,687.712,357.376,5.92
4271,850.337,525.917,5.92
4266,825.548,638.521,5.93
3960,276.812,491.971,5.94
4095,529.879,327.413,5.95
4144,618.372,339.294,6.00
4228,779.261,463.619,6.00
3895,95.541,153.997,6.06
4018,395.122,443.735,6.10
3971,300.229,619.004,6.14
4147,628.113,298.053,6.14
4038,417.130,9.966,6.16
3966,286.470,470.210,6.19
3957,261.267,223.473,6.20
4210,748.301,439.417,6.21
3887,86.808,365.450,6.22
4043,428.331,442.147,6.22
4151,621.288,543.055,6.23
4217,752.827,520.956,6.25
4091,518.283,272.565,6.35
4226,799.301,249.412,6.36
4007,377.469,348.663,6.40
4022,400.815,596.010,6.41
3967,293.787,643.260,6.42
4188,706.845,434.672,6.42
4128,581.857,573.027,6.43
3883,67.353,225.517,6.46
3920,139.751,57.922,6.48
